Variant,Acc,wF1,mF1,BestEpoch,pair_hap_exc,pair_ang_fru,D_Acc,D_wF1,D_mF1
G0_probes_baseline,0.6796056685150955,0.6840516300586049,0.6710058640828659,26,0.612390257575606,0.653134438132795,0.0,0.0,0.0
G1a_OGM_a03,0.6660505237215034,0.6709286469402382,0.6578897699554335,26,0.589047619047619,0.6442134062927496,-0.0135551447935921,-0.013122983118366682,-0.01311609412743242
G1b_OGM_a05,0.6691312384473198,0.6744261084045287,0.6637089512632425,23,0.5851900393184797,0.6553337775026906,-0.010474430067775709,-0.009625521654076263,-0.007296912819623413
G2_AFW,0.6789895255699322,0.6815640434539697,0.6683005084168293,18,0.5999747155499369,0.6508640744433367,-0.0006161429451633227,-0.002487586604635217,-0.0027053556660365796
G3_AFW_AMW,0.6654343807763401,0.6644709201997214,0.6526016766695322,22,0.5770553317134685,0.6278106606027272,-0.014171287738755423,-0.019580709858883494,-0.018404187413333717
G4_ModDrop015,0.6845348120764018,0.689048424230678,0.6767583489846744,22,0.6153861308116627,0.6563478923271848,0.004929143561306248,0.004996794172073105,0.005752484901808463
G5_G1b_OGM_a05_ModDrop_s42,0.6734442390634627,0.6773691141315565,0.6659444195463571,15,0.6162918871252204,0.6501919286233011,-0.006161429451632783,-0.0066825159270483825,-0.005061444536508808
G5_G1b_OGM_a05_ModDrop_s43,0.6876155268022182,0.6898870659088531,0.6743993854190391,18,0.6117370254739605,0.6570328017820237,0.00800985828712264,0.00583543585024815,0.003393521336173211
G5_G1b_OGM_a05_ModDrop_s44,0.6759088108441158,0.6790366445501775,0.6607645984528379,24,0.5951824943781353,0.6437827500478103,-0.003696857670979714,-0.005014985508427383,-0.01024126563002803
