Variant,Acc,wF1,mF1,BestEpoch,pair_hap_exc,pair_ang_fru,D_Acc,D_wF1,D_mF1
E0_off,0.6826863832409119,0.6830641649312064,0.6698978556280255,14,0.5975548674984064,0.6646386993856701,0.0,0.0,0.0
E0_off_confirm_s42,0.685150955021565,0.6857069419764916,0.6789025425535701,19,0.6226817507418398,0.666717101668558,0.0024645717806530687,0.0026427770452852606,0.00900468692554457
E0_off_confirm_s43,0.685150955021565,0.6892194348721734,0.6766195702735841,22,0.6148459383753502,0.6475501851490937,0.0024645717806530687,0.006155269940967045,0.006721714645558596
E0_off_confirm_s44,0.6789895255699322,0.6830317429136632,0.6665894966374964,20,0.5916943410150615,0.6709764852391766,-0.003696857670979714,-3.242201754316554e-05,-0.003308358990529059
E1_shared,0.6882316697473814,0.6907948994963339,0.6792989942287669,25,0.6255627221271554,0.6540539911927061,0.00554528650646946,0.007730734565127517,0.009401138600741432
E1_shared_confirm_s42,0.6765249537892791,0.6799874746617721,0.6677673202533425,26,0.6161770043606954,0.6338848039215685,-0.006161429451632783,-0.0030766902694342457,-0.002130535374682996
E1_shared_confirm_s43,0.678373382624769,0.6762764498918263,0.6579848188141794,9,0.5844053288323587,0.6527882328410324,-0.004313000616142926,-0.006787715039380027,-0.011913036813846145
E1_shared_confirm_s44,0.6882316697473814,0.6892453780417273,0.6717323175518484,17,0.6172127522030554,0.6492124777839063,0.00554528650646946,0.006181213110520889,0.001834461923822861
E2_per_modality,0.6876155268022182,0.6902216800556862,0.6779908438616783,19,0.6239967239967239,0.6676616915422886,0.004929143561306248,0.0071575151244798185,0.008092988233652787
E3_gumbel,0.6802218114602587,0.6835005495599092,0.6723915909127246,20,0.602238354506957,0.6588139692516253,-0.0024645717806531797,0.0004363846287028794,0.0024937352846990946
E4_cad,0.6833025261860751,0.6874024968701206,0.6769467523648319,17,0.6318210024821843,0.6361987417917987,0.0006161429451632117,0.004338331938914197,0.00704889673680642
