epoch,loss,val_loss,val_acc,val_wf1,val_mf1,test_acc,test_wf1,test_mf1
1,2.1175880432128906,1.8376994132995605,0.4853700516351119,0.39394732708734054,0.4008336135147729,0.3678373382624769,0.30649716498496105,0.2991897581448303
2,1.8634530305862427,1.6502522230148315,0.5748709122203098,0.5053305123756718,0.506224330080021,0.5428219346888478,0.5262223694716155,0.5011688915302075
3,1.6948786292757307,1.5146493911743164,0.6092943201376936,0.5606501010976793,0.5084861256642448,0.6173752310536045,0.6083159118818185,0.5797242025044818
4,1.5545224802834647,1.4514424800872803,0.6144578313253012,0.5905970808981291,0.5716562086673878,0.6284658040665434,0.6187519668020917,0.6033088019208549
5,1.4697622060775757,1.476069450378418,0.6351118760757315,0.5991276618948718,0.595648315553313,0.6475662353666051,0.6465877024723069,0.6298587574454076
6,1.4194352967398507,1.4528406858444214,0.6678141135972461,0.674375313674454,0.6548034735181494,0.6592729513247073,0.6580685739032375,0.6417016401944027
7,1.3712586164474487,1.4036067724227905,0.7022375215146299,0.7034209248953911,0.6616382357904868,0.6685150955021565,0.667999273779917,0.6530138038153258
8,1.3479165179388863,1.3812724351882935,0.7005163511187608,0.6985305020378887,0.6522912768326838,0.6839186691312384,0.6838308348829529,0.6663598667676277
9,1.304960114615304,1.3933143615722656,0.7039586919104991,0.6985822173263663,0.6305469332634773,0.6654343807763401,0.6711486168156943,0.6554730881415578
10,1.2694329874856132,1.3848540782928467,0.7039586919104991,0.7062192957481046,0.6614465646319897,0.678373382624769,0.6757513501066057,0.654061154537381
11,1.2612996782575334,1.408567190170288,0.693631669535284,0.6939367745072487,0.6603835804493515,0.6906962415280345,0.6896757724635367,0.6773419360099764
12,1.230633326939174,1.3795044422149658,0.6678141135972461,0.6691730837878279,0.631218007823042,0.6863832409118915,0.6867091254909936,0.6747605673636766
13,1.2145610366548811,1.3769701719284058,0.7142857142857143,0.710803471152533,0.6748102879686327,0.678373382624769,0.6813806623021972,0.6646565242275838
14,1.1942006008965629,1.36806321144104,0.6953528399311532,0.6947753898694867,0.6643495870594325,0.6876155268022182,0.6896755814905201,0.6720254665865695
15,1.1681009360722132,1.3481624126434326,0.7366609294320138,0.7366726055184423,0.7021633668388136,0.6814540973505854,0.6850663090516189,0.6720297230493776
16,1.1476466826030187,1.3761379718780518,0.7142857142857143,0.7182226409681907,0.6654004751861168,0.6882316697473814,0.6934245613489207,0.6782528365378208
17,1.12162869317191,1.3465769290924072,0.7177280550774526,0.7181998042035391,0.703093037009217,0.6919285274183611,0.6960576403783193,0.6826609442212147
18,1.1190025806427002,1.3982735872268677,0.6815834767641996,0.6815814637722579,0.653449985886852,0.6974738139248305,0.6941111390805406,0.6821679176572233
19,1.0911729506083898,1.380393147468567,0.7108433734939759,0.7153158951734222,0.6581374812133575,0.6709796672828097,0.6792224684261018,0.6657749185589114
20,1.0783653599875314,1.3842941522598267,0.7142857142857143,0.716441547060243,0.6750183884899967,0.6814540973505854,0.6860434167401153,0.6702343045679383
21,1.0552183730261666,1.3836352825164795,0.7142857142857143,0.7135582107384927,0.6726712583546067,0.6882316697473814,0.6878253099137424,0.6744170083570139
22,1.0549230405262537,1.4044872522354126,0.7022375215146299,0.7041508385852547,0.6618508816823303,0.6685150955021565,0.6752292081699648,0.6635637291576687
23,1.0482166835239954,1.4350661039352417,0.6833046471600689,0.6885546611537162,0.6363998203252247,0.6968576709796673,0.6956818728456142,0.6799776460188314
24,1.0341174943106515,1.3447767496109009,0.7314974182444062,0.731457377063038,0.6864700753019489,0.6561922365988909,0.6561357975948682,0.6474298858906135
25,1.0175551346370153,1.4067423343658447,0.7022375215146299,0.7053662965568065,0.6635335844249882,0.7030191004313001,0.7054755008112663,0.6913573893736104
26,1.0182361177035741,1.4553532600402832,0.7005163511187608,0.7015018918798476,0.6629644556238546,0.6691312384473198,0.6710967924736837,0.6608849105072055
27,1.0003968988146101,1.4185869693756104,0.7056798623063684,0.7076847905484724,0.6648915936196292,0.6956253850893407,0.6978356367397518,0.6858453985314611
28,0.9864624568394252,1.4529839754104614,0.7074010327022375,0.706602182552147,0.6694005286841972,0.6820702402957486,0.6835807687358942,0.6757561918636871
29,0.9898699351719448,1.4103853702545166,0.7125645438898451,0.7133374068637868,0.6828479169201676,0.6796056685150955,0.6802909772097374,0.667450223380992
30,0.9740405678749084,1.4595032930374146,0.7056798623063684,0.7058081919755907,0.6600604730422465,0.6839186691312384,0.6873272050959083,0.6734826851066139
31,0.9661823425974164,1.44280207157135,0.6953528399311532,0.6959310970314803,0.6713444622249732,0.680837954405422,0.6816532128316105,0.6726574774874671
32,0.9526160444532122,1.3957902193069458,0.7332185886402753,0.7347223382251522,0.7011107350388938,0.6974738139248305,0.6991729664067114,0.6868204124115849
33,0.9416339652878898,1.429485559463501,0.7108433734939759,0.7126268930173705,0.6735102964680658,0.6857670979667283,0.6886547004998784,0.6772523949283414
34,0.9296052541051593,1.455011248588562,0.7005163511187608,0.7020077704398413,0.6629419540949578,0.6943930991990142,0.6948125152207688,0.684157556823959
35,0.9214211106300354,1.4477077722549438,0.7125645438898451,0.7142875089620808,0.6660930144608698,0.6802218114602587,0.6831078594435768,0.6725713495721563
36,0.9179742421422686,1.444165587425232,0.7246127366609294,0.7266993998688093,0.6905279579998834,0.7005545286506469,0.7014963903849581,0.6875806370813211
37,0.9114286133221218,1.4815685749053955,0.6970740103270223,0.6967269811722112,0.6532554331396706,0.6814540973505854,0.6835888490886699,0.6728846521537619
38,0.9085277489253453,1.454697847366333,0.7108433734939759,0.7121437237534657,0.6776284659748452,0.6968576709796673,0.6983529067364199,0.6855926285268928
39,0.8970359648977008,1.4649338722229004,0.7142857142857143,0.7159627345710153,0.6756483548001576,0.6802218114602587,0.6821332019409853,0.6714696300047561
40,0.8928464140210833,1.455419659614563,0.7194492254733219,0.721183075043946,0.6860829233379843,0.6876155268022182,0.6892180508011722,0.6776891882820939
41,0.8901489547320774,1.4578158855438232,0.7211703958691911,0.7225926175764897,0.6874249809307078,0.6937769562538509,0.6953056973914327,0.682965714427684
42,0.8879604424749102,1.4725594520568848,0.7108433734939759,0.7116227911986708,0.6790325820941164,0.6888478126925447,0.6903276644755174,0.678211233894879
43,0.8790936725480216,1.463317632675171,0.7211703958691911,0.7226132164163931,0.6825875906676256,0.6814540973505854,0.6838027079091846,0.6731063988176978
44,0.8785806724003383,1.4549288749694824,0.7177280550774526,0.7194815396360095,0.677681756857524,0.6943930991990142,0.6955024564638098,0.6825851984535034
45,0.8755492142268589,1.4769721031188965,0.7194492254733219,0.7210822111450421,0.6845471777078699,0.685150955021565,0.6873481308380714,0.6752916771006903
46,0.8720894711358207,1.46244478225708,0.7194492254733219,0.7210295648614329,0.6856842427896624,0.6833025261860751,0.6856560682263881,0.6744200924843754
47,0.8673409649303981,1.4763058423995972,0.7125645438898451,0.7138298671140313,0.6840429136462168,0.6857670979667283,0.6872377662642436,0.6752038699052569
48,0.8699337499482291,1.4730831384658813,0.7142857142857143,0.7170318275332592,0.6724593345638347,0.6906962415280345,0.6919420513753235,0.6793021954781485
49,0.863730081490108,1.4717689752578735,0.7039586919104991,0.7066043645228512,0.6653406640987419,0.6913123844731978,0.6922527352934298,0.6793048653897534
50,0.862856754234859,1.4842534065246582,0.7160068846815835,0.7179087876390823,0.6818656775176634,0.6857670979667283,0.6875610875720122,0.6739453211693952
51,0.8650261334010533,1.479941725730896,0.7160068846815835,0.7179246207093793,0.6819874643191048,0.678373382624769,0.6805272930273677,0.6668093332844958
52,0.8649904813085284,1.4792054891586304,0.7194492254733219,0.7209265928024821,0.6878748259303897,0.6796056685150955,0.6815312716311398,0.6683770298927975
53,0.8630849889346531,1.4774295091629028,0.7160068846815835,0.7178895742273488,0.6823914243977282,0.680837954405422,0.6827207736446614,0.6683335768891093
54,0.8604992628097534,1.4747354984283447,0.7177280550774526,0.720047348558302,0.6801460211819768,0.6863832409118915,0.6879157270783249,0.6738744804907549
55,0.8613847494125366,1.4797850847244263,0.7194492254733219,0.7214650331536013,0.6841633361795078,0.685150955021565,0.6869115153588192,0.6726990284923614
56,0.8585794227463859,1.4764703512191772,0.7194492254733219,0.7213904947644915,0.6843817361295543,0.6845348120764018,0.686484340693047,0.6731623906864047
57,0.8560297233717782,1.4741631746292114,0.7211703958691911,0.7231514840141421,0.6854317221737612,0.6857670979667283,0.6876837432262499,0.6745520731392093
58,0.8569175260407584,1.4739102125167847,0.7228915662650602,0.7248465349093759,0.6867343769114346,0.6857670979667283,0.6877184052336687,0.6745764812228564
59,0.8538797582898822,1.4743987321853638,0.7211703958691911,0.7230902984685407,0.6856643497661571,0.6857670979667283,0.6877184052336687,0.6745764812228564
60,0.8577687825475421,1.4742268323898315,0.7211703958691911,0.7230902984685407,0.6856643497661571,0.6857670979667283,0.6877184052336687,0.6745764812228564
