Variant,Acc,wF1,mF1,BestEpoch,pair_hap_exc,pair_ang_fru,D_Acc,D_wF1,D_mF1
F0_mean,0.6857670979667283,0.6870850060056141,0.6760631977056449,21,0.6065134099616858,0.6799476544409486,0.028958718422674057,0.02813975281173975,0.022652659458800573
F1_text_anchor,0.6568083795440542,0.6589452531938743,0.6534105382468444,21,0.5878014274587102,0.6478517768211361,0.0,0.0,0.0
F2_pairwise,0.6734442390634627,0.6736352665612667,0.6591755591066797,19,0.5869917757442372,0.6592230206845969,0.01663585951940849,0.014690013367392396,0.005765020859835324
F3_gated,0.6703635243376463,0.6719154288659694,0.6616691999069175,22,0.6268115942028986,0.6291629826112586,0.0135551447935921,0.01297017567209513,0.008258661660073163
F4a_alt_interFirst,0.6950092421441775,0.6963419207766215,0.6896333334702401,24,0.6301573312442877,0.6894010542596004,0.03820086260012323,0.03739666758274718,0.036222795223395776
F4b_alt_intraFirst,0.6802218114602587,0.6799393469136905,0.6739573728912162,20,0.6226952445532002,0.6628866738777298,0.023413431916204486,0.020994093719816198,0.020546834644371792
F5_cross_utt,0.7017868145409735,0.7044725115347913,0.6985647015672299,23,0.6375176449980938,0.6824026122584805,0.044978434996919225,0.045527258340916976,0.045154163320385576
F5_cross_utt_confirm_s42,0.7024029574861368,0.7051982453120305,0.6994984535636758,23,0.6378375852724045,0.6880755130906677,0.04559457794208255,0.046252992118156144,0.04608791531683143
F5_cross_utt_confirm_s43,0.6913123844731978,0.694211883861157,0.6808829532192396,23,0.6109049864173728,0.6634834015461573,0.03450400492914352,0.03526663066728264,0.027472414972395276
F5_cross_utt_confirm_s44,0.6943930991990142,0.6970414815270092,0.6873400771582642,18,0.6308819385742462,0.6627419369047933,0.03758471965495991,0.03809622833313486,0.03392953891141981
F5b_cross_utt_joint,0.7017868145409735,0.7041510797315487,0.6934343066320431,27,0.6277470355731225,0.6806626632106001,0.044978434996919225,0.045205826537674354,0.04002376838519872
