Variant,Acc,wF1,mF1,BestEpoch,pair_hap_exc,pair_ang_fru,D_Acc,D_wF1,D_mF1
L0_ls00_cbOff,0.6894639556377079,0.683559877078095,0.6599474236286845,16,0.5729046909374779,0.6593917912863339,0.012322858903265566,0.00688710986733454,0.001646462996105269
L1_ls00_cbOn,0.6826863832409119,0.6828950994026385,0.6682345314256738,16,0.6065385718382563,0.6579270649886173,0.005545286506469571,0.006222332191878066,0.009933570793094537
L2_ls01_cbOff,0.6777572396796057,0.6764045854532582,0.6590318760542989,17,0.5812807881773399,0.6393303564283542,0.0006161429451633227,-0.0002681817575022061,0.0007309154217196578
L3_ls01_cbOn,0.6771410967344423,0.6766727672107604,0.6583009606325793,14,0.5914992234517569,0.6526804893994582,0.0,0.0,0.0
L4_cbfc_g0,0.6759088108441158,0.6793642998054877,0.6685878758539204,19,0.6189926396305383,0.6576099901987965,-0.0012322858903265343,0.0026915325947273194,0.010286915221341175
L4_cbfc_g1,0.6820702402957486,0.6848402625749223,0.6747227344338822,22,0.6283598905520682,0.6664064174397599,0.004929143561306248,0.008167495364161836,0.01642177380130294
L4_cbfc_g2,0.6759088108441158,0.6804448410002034,0.667037657034837,20,0.6076496760596362,0.6652434926066235,-0.0012322858903265343,0.003772073789442998,0.008736696402257715
L5_bcl_dia,0.6722119531731362,0.6769872631110394,0.6653852282050661,25,0.6009564509564509,0.664441092410289,-0.004929143561306137,0.0003144959002789882,0.007084267572486813
L5_bcl_global,0.6833025261860751,0.6879979386457693,0.6779209321170253,27,0.6166804000611834,0.6700988534948864,0.006161429451632783,0.011325171435008885,0.019619971484446053
L5_contrast_off,0.674060382008626,0.6750000410704627,0.6632481343480279,18,0.6022123893805309,0.639755467051929,-0.0030807147258163914,-0.0016727261402976756,0.004947173715448616
L6_eacl,0.6512630930375847,0.6565215417151586,0.6453950369635512,19,0.5701825452099056,0.6394998334403107,-0.025878003696857665,-0.020151225495601777,-0.012905923669028097
L6b_eacl_noContrast,0.6642020948860136,0.6711724354482601,0.6576228593763744,24,0.5740850397310513,0.6577986181678686,-0.012939001848428777,-0.00550033176250031,-0.0006781012562048216
L7_winner_s42,0.6876155268022182,0.6922393469006832,0.6815784281366669,28,0.6222632731253421,0.6667626491155902,0.01047443006777582,0.01556657968992281,0.023277467504087657
L7_winner_s43,0.6839186691312384,0.6835758310839568,0.6710815235684614,23,0.6171346138733904,0.6528836754643206,0.0067775723967961055,0.006903063873196391,0.012780562935882145
L7_winner_s44,0.6709796672828097,0.6734392503365642,0.6605729974026882,18,0.5988070074875507,0.6506698384875422,-0.006161429451632672,-0.0032335168741962628,0.0022720367701088984
