epoch,loss,val_loss,val_acc,val_wf1,val_mf1,test_acc,test_wf1,test_mf1,gap,f1_neutral,f1_surprise,f1_fear,f1_sadness,f1_joy,f1_disgust,f1_anger
1,1.9956671866503628,1.6680204570293427,0.6251121076233184,0.5523168936371577,0.29775246321922044,0.596551724137931,0.5222913002079761,0.30062854089509294,-0.32764672962102015,0.7422994815492528,0.43537414965986393,0.0,0.0,0.46906474820143884,0.136986301369863,0.3206751054852321
2,1.5742303096886836,1.3408641815185547,0.7192825112107624,0.6999095064875419,0.4864181357583985,0.6532567049808429,0.6392143890630408,0.43719938621741117,-0.23336612817012892,0.7975318164288469,0.5727699530516432,0.0,0.30201342281879195,0.6439854191980559,0.2625,0.4815950920245399
3,1.3852207046566587,1.2717337906360626,0.7246636771300449,0.7192320240845655,0.5420698628168478,0.6524904214559387,0.6504873016457114,0.48240035418196453,-0.11348691402059607,0.7928209129925868,0.5714285714285714,0.23655913978494625,0.3619047619047619,0.6391478029294274,0.25263157894736843,0.5223097112860893
4,1.289503650231795,1.234997034072876,0.7139013452914799,0.7175268786265666,0.5681450073373305,0.6348659003831417,0.6421414402359549,0.48874346355135045,-0.05450661615891894,0.7755437012720559,0.572463768115942,0.24561403508771928,0.4107883817427386,0.6420927467300832,0.2962962962962963,0.47840531561461797
5,1.2513384006240151,1.2318835854530334,0.736322869955157,0.7321080699507875,0.5799874203881213,0.6524904214559387,0.650462085336287,0.4939750583005787,-0.019454815170981687,0.7873952931790985,0.5735963581183612,0.25,0.36990595611285265,0.6361386138613861,0.31654676258992803,0.5242424242424243
6,1.2266761714761907,1.2158495485782623,0.7300448430493274,0.7288662622930343,0.5662031975030025,0.6551724137931034,0.6567987368429323,0.506606009037673,-0.01082662289792835,0.7908836465413834,0.5676567656765676,0.2524271844660194,0.43,0.6377204884667571,0.34782608695652173,0.5197278911564626
7,1.1879939346602468,1.203546404838562,0.7147982062780269,0.7256550390938533,0.5613873446520276,0.621072796934866,0.6362373097459542,0.4817346263822596,0.01555247017831518,0.7668918918918919,0.5436893203883495,0.23391812865497075,0.3951219512195122,0.6375661375661376,0.2882882882882883,0.5066666666666667
8,1.1794691988916108,1.2404530942440033,0.7291479820627803,0.7272140665064298,0.5638683978393763,0.6532567049808429,0.6536274398590298,0.5003808211661098,0.06098389535239246,0.7884465261514442,0.583916083916084,0.21897810218978103,0.4212860310421286,0.6355382619974059,0.3511450381679389,0.5033557046979866
9,1.1622862165624446,1.224201261997223,0.737219730941704,0.7315755222898914,0.5820236996505981,0.6639846743295019,0.6581107283580876,0.5049697220824384,0.061915045434778326,0.7967975600457491,0.5704099821746881,0.27350427350427353,0.3888888888888889,0.6268656716417911,0.3356643356643357,0.5426573426573427
10,1.161769429842631,1.2293682992458344,0.737219730941704,0.7391808040975208,0.5843110576723584,0.6486590038314176,0.6537255134631874,0.5020769677836195,0.06759886940320325,0.7867146858743498,0.5614678899082569,0.25688073394495414,0.4343891402714932,0.6293706293706294,0.3163841807909605,0.529331514324693
